ticker,currentPrice,low52Week,high52Week,sharesShort,sharesShortPriorMonth,shortChange,shortInterest,averageVolume,marketcap,enterpriseValue,trailingPE,forwardPE,trailingEPS,forwardEPS
PEB,13.375,12.37,17.38,20232039.0,21185274.0,-4.49951697580121,16.789795190121325,1843839,1611714304.0,4199843328.0,,,,
VTLE,55.9,39.74,73.27,3575703.0,3981551.0,-10.193213649655625,16.437444261586695,709981,1216015104.0,2675821056.0,1.0712917,3.1351655,,
TBPH,9.135,8.25,12.03,8832393.0,8998583.0,-1.8468463312501535,16.723867752508372,421531,482447680.0,362716736.0,,,,
OM,4.01,3.18,30.55,8270469.0,7652576.0,8.074313799693071,16.610636229619484,798293,199658720.0,49408820.0,,,,
ODP,44.8,37.35,53.59,6295961.0,5758641.0,9.330673678043135,16.54680757121006,311131,1704613120.0,2207248128.0,9.593147,8.101265,,
CHRS,3.878,3.14,10.991,17603557.0,15652991.0,12.461298930025578,16.546251527399193,2764337,412580416.0,694471936.0,,,,
RRGB,7.35,5.35,16.5,2630381.0,2698264.0,-2.515802753177599,16.513158390357212,331073,117078152.0,699813440.0,,,,
MCRB,1.5,1.32,9.49,21172091.0,20233519.0,4.6386987849221875,16.514247494247495,2229284,192307504.0,175704928.0,,,,
SAGE,19.51,16.515,59.99,9856872.0,9269518.0,6.336402820513428,16.45997004203133,1760303,1168334848.0,178639600.0,,,,
CRSP,44.78,38.94,72.0,13042772.0,14084106.0,-7.39368192769921,16.424306837557328,977489,3556042496.0,1995793408.0,,,,
FOUR,52.63,36.33,76.4,9369500.0,8566577.0,9.372740127124288,16.592847870707015,1168390,4318728704.0,4194631936.0,31.89697,15.948485,,
LAZR,4.2001,3.91,10.55,62545873.0,62848513.0,-0.48153883927214,21.32553378520217,5428790,1639635072.0,1879153920.0,,,,
ZNTL,18.42,15.55,31.46,11276824.0,12002641.0,-6.047144124363963,15.970712114817573,607768,1300625152.0,830859200.0,,,,
TLRY,2.0401,1.5,5.12,115364824.0,89129715.0,29.43475024014157,15.797125323849437,31745021,1489864704.0,1587922048.0,,,,
TMDX,43.7,39.53,99.63,5192303.0,4147739.0,25.183937562127223,15.9124711925076,785685,1425948544.0,1327746944.0,,,,
AMTX,4.8425,1.16,8.99,6177130.0,4693651.0,31.606078082925208,15.900889885372878,578362,188120000.0,577336896.0,,,,
RLAY,6.97,6.97,23.18,19400007.0,19885998.0,-2.4438853911179113,15.884198503283278,1013612,851273984.0,129449960.0,,,,
VTYX,18.695,18.125,47.251,9338529.0,9179372.0,1.733854995744807,15.858011085375049,652112,1100918656.0,755600640.0,,,,
