ticker,currentPrice,low52Week,high52Week,sharesShort,sharesShortPriorMonth,shortChange,shortInterest,averageVolume,marketcap,enterpriseValue,trailingPE,forwardPE,trailingEPS,forwardEPS
NVAX,7.05,5.61,25.66,44435101.0,40085657.0,10.85037473628036,44.037006461587254,9613481,711373248.0,396965504.0,,,,
BYND,8.64,7.9,22.87,25172512.0,21975156.0,14.549867131773716,39.09637218144373,2056846,556293312.0,1561916288.0,,,,
SAVA,14.86,12.32,45.43,14212684.0,13344652.0,6.504718144766908,33.86391231832261,970579,623674176.0,455236096.0,,,,
FFIE,1.05,1.01,105.6,7089424.0,3966759.0,78.7208146499447,28.066811564940952,3723975,27362054.0,111584608.0,,,,
UPST,27.13,11.93,72.58,27280228.0,26137301.0,4.372781260008445,32.51993951532535,8520960,2275873024.0,2859092224.0,,,,
AI,24.75,10.16,48.87,37484724.0,35908318.0,4.390085884835932,32.68009624941152,12094668,2925499392.0,2178639616.0,,,,
FEMY,1.44,0.248,4.75,4669029.0,19124.0,24314.50010458063,27.74905948567387,12587418,24229296.0,11209421.0,,,,
TSVT,4.42,3.01,17.56,15215701.0,8688558.0,75.1234324498956,30.151236708504577,1441987,223053536.0,203794432.0,,,,
NSTG,1.71,1.19,13.2,13857793.0,7383966.0,87.67411713434217,29.146320584870107,1443098,81302976.0,212322896.0,,,,
LOVE,16.76,16.75,30.935,4401093.0,4513032.0,-2.4803502390410705,28.922211999737137,301376,255036928.0,373939712.0,13.301588,5.8601403,,
MARA,7.71,3.11,19.88,50151004.0,51191899.0,-2.0333197641290863,28.6908339912356,27188360,1631073536.0,1980496256.0,,,,
BLNK,3.06,2.86,15.67,18317089.0,15981532.0,14.614099574433789,28.62434268408362,2157067,195813376.0,137263424.0,,,,
CVNA,33.87,3.55,57.19,31834127.0,33988741.0,-6.3391992071727525,37.673523076923075,14231392,6015311872.0,10451640320.0,,,,
EOSE,1.82,0.955,5.665,38141554.0,34539879.0,10.427584300454555,28.46490839210418,9509028,243870912.0,458335008.0,,,,
BIG,4.35,3.73,20.91,8258677.0,7614827.0,8.455215069232695,28.288371822186292,1688542,126996504.0,2279438592.0,,,,
CUTR,3.43,3.24,52.89,5467318.0,5722414.0,-4.457838946989854,27.413484824933942,882395,68407576.0,277046496.0,,,,
STEM,3.83,3.5,14.83,42602129.0,42744246.0,-0.33248217783511724,27.343762596115585,4104734,596721664.0,1070457216.0,,,,
SLG,34.37,19.06,44.65,17483536.0,16885914.0,3.539174722789658,27.15340746722992,1821403,2223567104.0,7473671680.0,,,,
FSR,6.21,4.26,8.85,89262714.0,81742722.0,9.199585988829684,42.32747266295534,7795623,2131520384.0,2374488832.0,,,,
NOVA,10.22,8.35,24.82,31787370.0,31056718.0,2.352637519521541,25.99853597893118,4934026,1249558528.0,7978028544.0,,,,
TRUP,25.425,18.45,69.15,10569482.0,9996094.0,5.7361205286785015,25.547613465243153,711585,1051875456.0,919844800.0,,,,
WIRE,178.21,123.17,206.74,4176142.0,3941867.0,5.943249734199556,24.849852726785873,255846,2994908160.0,2327115008.0,5.7822847,9.775645,,
