tickers
NVAX
BYND
SAVA
FFIE
UPST
AI
FEMY
TSVT
NSTG
LOVE
MARA
BLNK
CVNA
EOSE
BIG
CUTR
STEM
SLG
FSR
NOVA
TRUP
WIRE
ENVX
EVGO
MVIS
PLCE
TWST
EBIX
LMND
BMEA
SWTX
ICPT
BLUE
BCRX
RUN
ASTS
AVXL
ABR
DM
VRDN
TGTX
KSS
PLUG
ARQT
MPW
RNA
AAOI
SPCE
OMER
SFM
CHPT
TPIC
ALLO
BOH
HELE
W
VTNR
EYPT
CPE
NKLA
UWMC
BXMT
EDIT
MSTR
WGO
INFN
CNX
SPRC
LWLG
VERV
PCT
SCPH
COLL
CNK
VUZI
GME
PAR
BEAM
RIG
RVNC
SPWR
ANAB
FUBO
TUP
PR
ARCT
CCRN
YELLQ
RIOT
AEHR
GRPN
IONQ
RYTM
PDSB
FCEL
RKT
PEB
VTLE
TBPH
OM
ODP
CHRS
RRGB
MCRB
SAGE
CRSP
FOUR
LAZR
ZNTL
TLRY
TMDX
AMTX
RLAY
VTYX
GTLS
AXSM
SKIN
HASI
HPP
WW
DEI
LKNCY
MIRM
RDFN
LTHM
LYFT
TDOC
SRG
GEVO
TARS
LUMN
EBS
FATE
SMR
FND
GES
REPL
ZIM
ZYXI
HE
IOVA
VSCO
AFRM
NNOX
YOU
DNMR
PACW
ANF
HROW
CORT
KPTI
RXRX
DMTK
EH
PLL
WNC
MDGL
BNGO
MNKD
WSM
HIBB
APLS
SMTC
PTON
WOLF
DAWN
RH
PZZA
YETI
FRPT
ARRY
BKKT
DBI
HSDT
CELH
VKTX
UUUU
FL
SPT
GOOS
GKOS
STAA
CYTK
ALT
INVA
CNMD
HLF
XPOF
IDEX
SOUN
ACHR
PETS
RVLV
PACB
LITE
KYMR
PROK
BOOT
OSTK
VRM
HZO
BE
HBI
PMVP
CABA
BCYC
AMLX
APLD
IDYA
ACLX
VNO
KALV
NRIX
APRN
BGS
EXTR
MLTX
CAKE
TNDM
JBLU
BROS
BTU
INOD
EXPI
NTST
ORIC
RAPT
EGHT
RILY
CRBU
BOWL
SANA
INDI
BRCC
SSTK
EAT
SBH
HA
MRTX
REAL
LESL
BBW
INBX
BTAI
SG
CLDX
CHS
BTBT
SPWH
CLB
IDCC
BLMN
GEO
SEDG
WISH
IRBT
SHLS
ASTI
AMN
CRNC
CWH
TRP
PI
ATKR
AUPH
EB
SOFI
PLAY
BGFV
SNBR
VCEL
AAL
HRMY
DVAX
JWN
PARA
OMI
GPRE
ARVL
PLRX
XELA
PSHG
SPR
ATRA
SIG
KLIC
WSO
SONO
POOL
IRWD
GPS
SCVL
CVM
TVTX
GSHD
FYBR
JBGS
DNA
VERA
SLNO
EWCZ
CHH
SNDX
MCS
CBRL
CIVI
RYAM
M
BIOL
AGL
ASO
PENN
QS
OPEN
VREX
FIGS
UEC
NOG
VECO
RCKT
CNXA
KMX
DISH
VERI
VRCA
